Severity	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	pred_logreg$response
C10	0	1.300025646	1.306716219	1.310019066	1.313264638	1.303390646	1.317927009	1.047461602	1	1	1.8025584	1.287540677	1.283469815	1.282604327	1.066666667	1.2783778	1.222222222	1.281817327	1.033608112	1.834666632	1	1	1.834666632	1.216072213	1.216072213	1	1.216072213	1.834666632	1.521108668	1.476147858	1.533864292	1.538912339	1	1.595361327	1.482945799	1.503973403	1.500808785	1.495303526	1.51956683	1	1.578155815	1.489293212	1	1	1	1	1	1.484158514	1.533603922	1.465943702	1.497804097	-0.0793566581849198
C11	0	1.300025646	1.306716219	1.310019066	1.313264638	1.303390646	1.317927009	1.047461602	1	1	1.8025584	1.287540677	1.283469815	1.282604327	1.066666667	1.2783778	1.222222222	1.281817327	1.033608112	1.834666632	1	1	1.834666632	1.216072213	1.216072213	1	1.216072213	1.834666632	1.521108668	1.476147858	1.533864292	1.538912339	1	1.595361327	1.482945799	1.503973403	1.500808785	1.495303526	1.51956683	1	1.578155815	1.489293212	1	1	1	1	1	1.484158514	1.533603922	1.465943702	1.497804097	-0.0793566581849198
C12	0	1.300025646	1.306716219	1.310019066	1.313264638	1.303390646	1.317927009	1.047461602	1	1	1.8025584	1.287540677	1.283469815	1.282604327	1.066666667	1.2783778	1.222222222	1.281817327	1.033608112	1.834666632	1	1	1.834666632	1.216072213	1.216072213	1	1.216072213	1.834666632	1.521108668	1.476147858	1.533864292	1.538912339	1	1.595361327	1.482945799	1.503973403	1.500808785	1.495303526	1.51956683	1	1.578155815	1.489293212	1	1	1	1	1	1.484158514	1.533603922	1.465943702	1.497804097	-0.0793566581849198
C13	0	3.218137862	3.245386512	3.258804191	3.272049635	3.231839417	3.13889019	2.578494436	2.285714286	2.205940139	2.415727033	3.093511752	3.094071782	3.094502919	2.388888889	2.622290118	2.444444444	3.093390893	2.295752706	2.4464662	2.428571429	2.226522148	2.4464662	2.479002486	2.479002486	2.4	2.479002486	2.4464662	2.632691814	2.635774635	2.641176084	2.638825016	2	2.609491846	2.629275294	2.66627263	2.678161937	2.695373337	2.683419652	2.198070556	2.733226374	2.654654832	2	2.2	2	2.114821592	2	2.591724269	2.62089869	2.601266467	2.551705139	0.489065214807989
C14	0	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
C15	0	3.218137862	3.245386512	3.258804191	3.272049635	3.231839417	3.13889019	2.578494436	2.285714286	2.205940139	2.415727033	3.093511752	3.094071782	3.094502919	2.388888889	2.622290118	2.444444444	3.093390893	2.295752706	2.4464662	2.428571429	2.226522148	2.4464662	2.479002486	2.479002486	2.4	2.479002486	2.4464662	2.632691814	2.635774635	2.641176084	2.638825016	2	2.609491846	2.629275294	2.66627263	2.678161937	2.695373337	2.683419652	2.198070556	2.733226374	2.654654832	2	2.2	2	2.114821592	2	2.591724269	2.62089869	2.601266467	2.551705139	0.489065214807989
C16	0	3.218137862	3.245386512	3.258804191	3.272049635	3.231839417	3.13889019	2.578494436	2.285714286	2.205940139	2.415727033	3.093511752	3.094071782	3.094502919	2.388888889	2.622290118	2.444444444	3.093390893	2.295752706	2.4464662	2.428571429	2.226522148	2.4464662	2.479002486	2.479002486	2.4	2.479002486	2.4464662	2.632691814	2.635774635	2.641176084	2.638825016	2	2.609491846	2.629275294	2.66627263	2.678161937	2.695373337	2.683419652	2.198070556	2.733226374	2.654654832	2	2.2	2	2.114821592	2	2.591724269	2.62089869	2.601266467	2.551705139	0.489065214807989
C17	0	3.012292284	3.034668329	3.045708349	3.056678494	3.023525098	2.984857345	3.237135941	3.375	3.350488486	2.42951774	2.953925337	2.949658759	2.949783074	3.188888889	2.506694367	2.777777778	2.94843525	3.346710577	2.440306606	3.285714286	3.237153194	2.440306606	2.895256279	2.895256279	3.6	2.895256279	2.440306606	2.553047062	2.356545414	2.436513889	2.414145836	3.416666667	2.355210677	2.326071171	2.351738028	2.425665091	2.390769213	2.371301531	3.468119882	2.347417478	2.317913553	3.454826447	3.5	3.333333333	3.572852067	3.274273531	2.327945419	2.421284515	2.327611853	2.41244296	0.719066429151803
C18	0	3.012292284	3.034668329	3.045708349	3.056678494	3.023525098	2.984857345	3.237135941	3.375	3.350488486	2.42951774	2.953925337	2.949658759	2.949783074	3.188888889	2.506694367	2.777777778	2.94843525	3.346710577	2.440306606	3.285714286	3.237153194	2.440306606	2.895256279	2.895256279	3.6	2.895256279	2.440306606	2.553047062	2.356545414	2.436513889	2.414145836	3.416666667	2.355210677	2.326071171	2.351738028	2.425665091	2.390769213	2.371301531	3.468119882	2.347417478	2.317913553	3.454826447	3.5	3.333333333	3.572852067	3.274273531	2.327945419	2.421284515	2.327611853	2.41244296	0.719066429151803
C19	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
